File Path                                                                                                                                                       , Part                , TargetClockPeriod, Best-caseLatency, Worst-caseLatency, BRAM_18K, LUT  , DSP, FF   , Avialable_BRAM_18K, Avialable_LUT, Avialable_DSP, Avialable_FF
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/disaggregation_of_axis_port/project/solution1/syn/report/csynth.xml                     , xcu280-fsvh2892-2L-e,             10.00, 13              , 13               ,        0,   110,   0,    49,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/ram_uram/project/solution1/syn/report/csynth.xml                                        , xcu280-fsvh2892-2L-e,             10.00, 1               , 1                ,        0,   276,   0,     6,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/imperfect_loop/project/solution1/syn/report/csynth.xml                                  , xcu280-fsvh2892-2L-e,             10.00, 36              , 36               ,        0,   775,   4,   260,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/merge_round_robin/project/solution1/syn/report/csynth.xml                               , xcu280-fsvh2892-2L-e,             10.00, 66              , 66               ,        0,   504,   0,   175,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_axi_stream_with_struct/project/solution1/syn/report/csynth.xml                    , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,        0,    92,   0,     4,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/array_partition_complete/project/solution1/syn/report/csynth.xml                        , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,        3,  7278,  63,  3844,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_axi_stream_no_side_channel_data/project/solution1/syn/report/csynth.xml           , xcu280-fsvh2892-2L-e,             10.00, 1               , 1                ,        0,    75,   0,     2,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/manual_burst_inference_success/project/solution1/syn/report/csynth.xml                  , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,       20,  2710,   0,  2005,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_vectors/project/solution1/syn/report/csynth.xml                                   , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,       76, 11758,  32, 14065,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_axi_lite_with_user_defined_offset/project/solution1/syn/report/csynth.xml         , xcu280-fsvh2892-2L-e,             10.00, 0               , 0                ,        0,   142,   0,    92,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/original/project/solution1/syn/report/csynth.xml                                        , xcu280-fsvh2892-2L-e,             10.00, 254             , 254              ,        0,   216,   0,    38,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/aliasing_axi_master_ports/project/solution1/syn/report/csynth.xml                       , xcu280-fsvh2892-2L-e,             10.00, 1061            , 1061             ,        4,  2244,   0,  1671,               4032,       1303680,          9024,      2607360
